"time (UTC)","Array Voltage (V)","Array Current (A)","Input Power (W)","Array Pmax(last sweep) (W)","Array Vmp (last sweep) (V)","Array Voc (last sweep) (V)","Battery Voltage (V)","Battery Voltage(slow) (V)","Battery Terminal Voltage (V)","Battery Sense Voltage (V)","Min. Battery Voltage(slow) (V)","Max. Battery Voltage(slow) (V)","Battery Current (A)","Battery Current(slow) (A)","Output Power (W)","Target Regulation Voltage (V)","Charge State ()","RTS Temperature (C)","Battery Temperature (C)","Heatsink Temperature (C)","Ah Charge Resetable (Ah)","Ah Charge Total (Ah)","kWh Charge Resetable (kWh)","kWh Charge Total (kWh)","LED State ()","Faults ()","Faults Daily ()","Alarms ()","Alarms Daily ()","Hourmeter (hrs)","Settings Switches ()"
"2021-05-18T15:35:44.226+00:00","432.25","-0.03","-14.93","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.19","27.19","33.31","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:35:49.226+00:00","432.25","-0.03","-14.93","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.19","27.19","33.31","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:35:54.226+00:00","432.50","-0.03","-15.49","364.00","394.00","464.75","54.78","54.78","54.72","54.75","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.23","27.23","33.28","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:35:59.226+00:00","432.50","-0.03","-15.49","364.00","394.00","464.75","54.78","54.78","54.72","54.75","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.23","27.23","33.28","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:36:04.227+00:00","432.50","-0.03","-15.49","364.00","394.00","464.75","54.78","54.78","54.72","54.75","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.23","27.23","33.28","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:36:09.227+00:00","432.50","-0.03","-15.48","364.00","394.00","464.75","54.75","54.78","54.75","54.78","40.91","91.13","-0.01","0.00","0.00","54.53","Float","27.25","27.25","33.25","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:36:14.227+00:00","432.50","-0.03","-15.48","364.00","394.00","464.75","54.75","54.78","54.75","54.78","40.91","91.13","-0.01","0.00","0.00","54.53","Float","27.25","27.25","33.25","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:36:19.227+00:00","432.50","-0.03","-15.48","364.00","394.00","464.75","54.75","54.78","54.75","54.78","40.91","91.13","-0.01","0.00","0.00","54.53","Float","27.25","27.25","33.25","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:36:24.227+00:00","432.50","-0.03","-18.89","364.00","394.00","464.75","54.75","54.78","54.72","54.75","40.91","91.13","-0.01","0.01","0.00","54.53","Float","27.25","27.25","33.22","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:36:29.227+00:00","432.50","-0.03","-18.89","364.00","394.00","464.75","54.75","54.78","54.72","54.75","40.91","91.13","-0.01","0.01","0.00","54.53","Float","27.25","27.25","33.22","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:36:34.227+00:00","432.50","-0.03","-18.89","364.00","394.00","464.75","54.75","54.78","54.72","54.75","40.91","91.13","-0.01","0.01","0.00","54.53","Float","27.25","27.25","33.22","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:36:39.227+00:00","432.25","-0.04","-15.38","364.00","394.00","464.75","54.91","54.78","54.72","54.78","40.91","91.13","0.00","0.01","0.32","54.53","Float","27.25","27.25","33.19","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:36:44.228+00:00","432.25","-0.04","-15.38","364.00","394.00","464.75","54.91","54.78","54.72","54.78","40.91","91.13","0.00","0.01","0.32","54.53","Float","27.25","27.25","33.19","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:36:49.228+00:00","432.25","-0.04","-15.38","364.00","394.00","464.75","54.91","54.78","54.72","54.78","40.91","91.13","0.00","0.01","0.32","54.53","Float","27.25","27.25","33.19","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:36:54.228+00:00","432.25","-0.04","-14.98","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","0.02","0.01","0.00","54.53","Float","27.27","27.27","33.16","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:36:59.228+00:00","432.25","-0.04","-14.98","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","0.02","0.01","0.00","54.53","Float","27.27","27.27","33.16","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:37:04.228+00:00","432.25","-0.04","-14.98","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","0.02","0.01","0.00","54.53","Float","27.27","27.27","33.16","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:37:09.228+00:00","432.25","-0.03","-15.59","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.27","27.27","33.16","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:37:14.229+00:00","432.25","-0.03","-15.59","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.27","27.27","33.16","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:37:19.229+00:00","432.25","-0.03","-15.59","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.27","27.27","33.16","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:37:24.228+00:00","432.25","-0.03","-15.59","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.27","27.27","33.16","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:37:29.229+00:00","432.50","-0.03","-15.86","364.00","394.00","464.75","54.78","54.78","54.91","54.94","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.27","27.27","33.13","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:37:34.228+00:00","432.50","-0.03","-15.86","364.00","394.00","464.75","54.78","54.78","54.91","54.94","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.27","27.27","33.13","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:37:39.229+00:00","432.50","-0.03","-15.86","364.00","394.00","464.75","54.78","54.78","54.91","54.94","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.27","27.27","33.13","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:37:44.229+00:00","432.25","-0.03","-15.63","364.00","394.00","464.75","54.75","54.78","54.75","54.81","40.91","91.13","-0.01","0.01","12.01","54.53","Float","27.27","27.27","33.06","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:37:49.229+00:00","432.25","-0.03","-15.63","364.00","394.00","464.75","54.75","54.78","54.75","54.81","40.91","91.13","-0.01","0.01","12.01","54.53","Float","27.27","27.27","33.06","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:37:54.230+00:00","432.25","-0.03","-15.63","364.00","394.00","464.75","54.75","54.78","54.75","54.81","40.91","91.13","-0.01","0.01","12.01","54.53","Float","27.27","27.27","33.06","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:37:59.230+00:00","432.00","-0.03","-15.12","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","0.01","0.01","0.00","54.53","Float","27.27","27.27","33.06","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:38:04.230+00:00","432.00","-0.03","-15.12","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","0.01","0.01","0.00","54.53","Float","27.27","27.27","33.06","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:38:09.230+00:00","432.00","-0.03","-15.12","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","0.01","0.01","0.00","54.53","Float","27.27","27.27","33.06","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:38:14.230+00:00","432.00","-0.03","-14.03","364.00","394.00","464.75","54.78","54.78","54.84","54.91","40.91","91.13","-0.00","0.02","0.00","54.53","Float","27.27","27.27","33.03","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:38:19.230+00:00","432.00","-0.03","-14.03","364.00","394.00","464.75","54.78","54.78","54.84","54.91","40.91","91.13","-0.00","0.02","0.00","54.53","Float","27.27","27.27","33.03","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:38:24.231+00:00","432.00","-0.03","-14.03","364.00","394.00","464.75","54.78","54.78","54.84","54.91","40.91","91.13","-0.00","0.02","0.00","54.53","Float","27.27","27.27","33.03","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:38:29.231+00:00","432.00","-0.03","-14.75","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","-0.01","0.01","0.00","54.53","Float","27.27","27.27","33.00","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:38:34.231+00:00","432.00","-0.03","-14.75","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","-0.01","0.01","0.00","54.53","Float","27.27","27.27","33.00","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:38:39.231+00:00","432.00","-0.03","-14.75","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","-0.01","0.01","0.00","54.53","Float","27.27","27.27","33.00","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:38:44.231+00:00","432.25","-0.03","-14.10","364.00","394.00","464.75","54.75","54.78","54.75","54.78","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.27","27.27","32.97","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:38:49.231+00:00","432.25","-0.03","-14.10","364.00","394.00","464.75","54.75","54.78","54.75","54.78","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.27","27.27","32.97","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:38:54.231+00:00","432.25","-0.03","-14.10","364.00","394.00","464.75","54.75","54.78","54.75","54.78","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.27","27.27","32.97","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:38:59.232+00:00","432.50","-0.02","-14.86","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","-0.02","0.01","0.00","54.53","Float","27.27","27.27","32.94","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:39:04.231+00:00","432.50","-0.02","-14.86","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","-0.02","0.01","0.00","54.53","Float","27.27","27.27","32.94","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:39:09.232+00:00","432.50","-0.02","-14.86","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","-0.02","0.01","0.00","54.53","Float","27.27","27.27","32.94","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:39:14.231+00:00","432.50","-0.04","-15.65","364.00","394.00","464.75","54.75","54.78","54.75","54.78","40.91","91.13","-0.02","0.01","0.00","54.53","Float","27.27","27.27","32.91","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:39:19.232+00:00","432.50","-0.04","-15.65","364.00","394.00","464.75","54.75","54.78","54.75","54.78","40.91","91.13","-0.02","0.01","0.00","54.53","Float","27.27","27.27","32.91","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:39:24.232+00:00","432.50","-0.04","-15.65","364.00","394.00","464.75","54.75","54.78","54.75","54.78","40.91","91.13","-0.02","0.01","0.00","54.53","Float","27.27","27.27","32.91","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:39:29.231+00:00","432.75","-0.03","-12.77","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","0.01","0.02","0.00","54.53","Float","27.27","27.27","32.88","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:39:34.232+00:00","432.75","-0.03","-12.77","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","0.01","0.02","0.00","54.53","Float","27.27","27.27","32.88","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:39:39.232+00:00","432.75","-0.03","-12.77","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","0.01","0.02","0.00","54.53","Float","27.27","27.27","32.88","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:39:44.232+00:00","433.00","-0.04","-14.83","364.00","394.00","464.75","54.50","54.78","54.72","54.78","40.91","91.13","0.28","0.01","0.73","54.53","Float","27.27","27.27","32.88","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:39:49.232+00:00","433.00","-0.04","-14.83","364.00","394.00","464.75","54.50","54.78","54.72","54.78","40.91","91.13","0.28","0.01","0.73","54.53","Float","27.27","27.27","32.88","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:39:54.233+00:00","433.00","-0.04","-14.83","364.00","394.00","464.75","54.50","54.78","54.72","54.78","40.91","91.13","0.28","0.01","0.73","54.53","Float","27.27","27.27","32.88","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:39:59.233+00:00","433.00","-0.04","-14.83","364.00","394.00","464.75","54.50","54.78","54.72","54.78","40.91","91.13","0.28","0.01","0.73","54.53","Float","27.27","27.27","32.88","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:40:04.233+00:00","433.25","-0.03","-15.11","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","0.03","0.02","0.00","54.53","Float","27.27","27.27","32.84","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:40:09.233+00:00","433.25","-0.03","-15.11","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","0.03","0.02","0.00","54.53","Float","27.27","27.27","32.84","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:40:14.233+00:00","433.25","-0.03","-15.11","364.00","394.00","464.75","54.78","54.78","54.75","54.78","40.91","91.13","0.03","0.02","0.00","54.53","Float","27.27","27.27","32.84","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:40:19.233+00:00","433.50","-0.03","-15.03","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.27","27.27","32.81","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:40:24.234+00:00","433.50","-0.03","-15.03","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.27","27.27","32.81","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:40:29.233+00:00","433.50","-0.03","-15.03","364.00","394.00","464.75","54.78","54.78","54.72","54.78","40.91","91.13","-0.03","0.01","0.00","54.53","Float","27.27","27.27","32.81","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:40:34.234+00:00","433.25","-0.03","-13.86","364.00","394.00","464.75","54.75","54.78","54.72","54.78","40.91","91.13","-0.02","0.02","0.00","54.53","Float","27.27","27.27","32.81","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:40:39.234+00:00","433.25","-0.03","-13.86","364.00","394.00","464.75","54.75","54.78","54.72","54.78","40.91","91.13","-0.02","0.02","0.00","54.53","Float","27.27","27.27","32.81","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
"2021-05-18T15:40:44.233+00:00","433.25","-0.03","-13.86","364.00","394.00","464.75","54.75","54.78","54.72","54.78","40.91","91.13","-0.02","0.02","0.00","54.53","Float","27.27","27.27","32.81","19369.5000","19369.5000","905.50","905.50","Green Flashing (slow)","no faults","no faults","no alarms","no alarms","15452","OFF/OFF/OFF/OFF/ON/ON/OFF/OFF"
